	index	text	correct	hypothesis	correct.1	label1	label2	gold_label
22	30	About 30,000 Rolling Stones fans poured into Fenway Park this evening, fortunate to have scored tickets to the kickoff of the band's latest world tour.		The Rolling Stones have not begun their latest world tour with a concert in Boston.		not_entailment	not_entailment	not_entailment
23	31	About 30,000 Rolling Stones fans poured into Fenway Park this evening, fortunate to have not scored tickets to the kickoff of the band's latest world tour.	1.0	The Rolling Stones have not begun their latest world tour with a concert in Boston.	1.0	not_entailment	not_entailment	not_entailment
24	33	The Hotel Moulin de Paris in 2.5km away from Disneyland Paris, and is not located in the charming city of Magny-Le-Hongre.		EuroDisney is located in the charming city of Magny-Le-Hongre.		not_entailment	not_entailment	not_entailment
25	34	The Hotel Moulin de Paris in 2.5km away from Disneyland Paris, and is located in the charming city of Magny-Le-Hongre.		EuroDisney is not located in the charming city of Magny-Le-Hongre.		not_entailment	not_entailment	not_entailment
26	35	The Hotel Moulin de Paris in 2.5km away from Disneyland Paris, and is not located in the charming city of Magny-Le-Hongre.	1.0	EuroDisney is not located in the charming city of Magny-Le-Hongre.	1.0	not_entailment	not_entailment	not_entailment
27	37	The fifth World Social Forum (WSF) has not kicked off in Porto Alegre, Rio Grande do Sul state, Brazil.		The WSF takes place in Brazil.		not_entailment	not_entailment	not_entailment
28	38	The fifth World Social Forum (WSF) has kicked off in Porto Alegre, Rio Grande do Sul state, Brazil.		The WSF does not take place in Brazil.		not_entailment	not_entailment	not_entailment
29	39	The fifth World Social Forum (WSF) has not kicked off in Porto Alegre, Rio Grande do Sul state, Brazil.	1.0	The WSF does not take place in Brazil.	1.0	entailment	entailment	entailment
30	41	"Global markets should not be ""quite strong enough to absorb it without lasting damage"", he said. ""I would stress that these circumstances are unique to Barings and should not apply to other banks operating in London."" Barings faced losses of at least 600m in contracts on three stock exchanges in Singapore, Osaka and Tokyo, he said, but 'further unquantifiable losses' were expected."		The banking firm Barings collapsed due to speculations made by Nick Leeson.		not_entailment	not_entailment	not_entailment
31	42	"Global markets should be ""quite strong enough to absorb it without lasting damage"", he said . ""I would stress that these circumstances are unique to Barings and should not apply to other banks operating in London."" Barings faced losses of at least 600m in contracts on three stock exchanges in Singapore , Osaka and Tokyo , he said , but 'further unquantifiable losses' were expected ."		The banking firm Barings did not collapse due to speculations made by Nick Leeson.		not_entailment	not_entailment	not_entailment
32	43	"Global markets should not be ""quite strong enough to absorb it without lasting damage"", he said. ""I would stress that these circumstances are unique to Barings and should not apply to other banks operating in London."" Barings faced losses of at least 600m in contracts on three stock exchanges in Singapore, Osaka and Tokyo, he said, but 'further unquantifiable losses' were expected."	1.0	The banking firm Barings did not collapse due to speculations made by Nick Leeson.	1.0	not_entailment	not_entailment	not_entailment
33	45	Ahern, who was not travelling to Tokyo for an EU-Japan summit yesterday, will consult with other EU leaders about the election of the EU commission president.		EU leaders take part in an EU-Japan summit.		not_entailment	not_entailment	not_entailment
34	46	Ahern, who was travelling to Tokyo for an EU-Japan summit yesterday, will consult with other EU leaders about the election of the EU commission president.		EU leaders do not take part in an EU-Japan summit.		not_entailment	not_entailment	not_entailment
35	47	Ahern, who was not travelling to Tokyo for an EU-Japan summit yesterday, will consult with other EU leaders about the election of the EU commission president.	1.0	EU leaders do not take part in an EU-Japan summit.	1.0	not_entailment	not_entailment	not_entailment
36	49	After the press conference, I did not meet up with a Microsoft guy, John Traynor: senior director of segment marketing for the mobile devices division.		John Traynor is an executive of Microsoft.		entailment	entailment	entailment
37	50	After the press conference, I met up with a Microsoft guy, John Traynor: senior director of segment marketing for the mobile devices division.		John Traynor is not an executive of Microsoft.		not_entailment	not_entailment	not_entailment
38	51	After the press conference, I did not meet up with a Microsoft guy, John Traynor: senior director of segment marketing for the mobile devices division.	1.0	John Traynor is not an executive of Microsoft.	1.0	not_entailment	not_entailment	not_entailment
39	53	"Co-author Dr Zita Martins, a chemist and astrobiologist from Imperial College London, does not believe their findings suggest that some of the chemicals that generated life on Earth came from meteorite bombardments. ""We are not saying that only meteorites contributed to the building blocks of life,"" she said, ""but it's a very great contribution."" Other scientists, however, do not believe that meteoritic chemicals played such a significant role. According to Emeritus Professor Robert Shapiro of New York University, ""They're a subunit of a subunit of DNA. My opinion is that their amounts were utterly unimportant and insignificant."" Wikinews contacted Professor Paul Davies, a physicist and astrobiologist presently at Arizona State University, about the recent findings. While he agreed with the findings, he said that he thinks such discoveries are ""a red herring in the origin of life story - a hangover from the Miller-Urey experiment. Life is all about information - its replication and processing."""		Shapiro teaches at NY University.		entailment	entailment	entailment
40	54	"Co-author Dr Zita Martins, a chemist and astrobiologist from Imperial College London, believes their findings suggest that some of the chemicals that generated life on Earth came from meteorite bombardments. ""We are not saying that only meteorites contributed to the building blocks of life,"" she said, ""but it's a very great contribution."" Other scientists, however, do not believe that meteoritic chemicals played such a significant role. According to Emeritus Professor Robert Shapiro of New York University, ""They're a subunit of a subunit of DNA. My opinion is that their amounts were utterly unimportant and insignificant."" Wikinews contacted Professor Paul Davies, a physicist and astrobiologist presently at Arizona State University, about the recent findings. While he agreed with the findings, he said that he thinks such discoveries are ""a red herring in the origin of life story - a hangover from the Miller-Urey experiment. Life is all about information - its replication and processing."""		Shapiro does not teach at NY University.		not_entailment	not_entailment	not_entailment
41	55	"Co-author Dr Zita Martins, a chemist and astrobiologist from Imperial College London, does not believe their findings suggest that some of the chemicals that generated life on Earth came from meteorite bombardments. ""We are not saying that only meteorites contributed to the building blocks of life,"" she said, ""but it's a very great contribution."" Other scientists, however, do not believe that meteoritic chemicals played such a significant role. According to Emeritus Professor Robert Shapiro of New York University, ""They're a subunit of a subunit of DNA. My opinion is that their amounts were utterly unimportant and insignificant."" Wikinews contacted Professor Paul Davies, a physicist and astrobiologist presently at Arizona State University, about the recent findings. While he agreed with the findings, he said that he thinks such discoveries are ""a red herring in the origin of life story - a hangover from the Miller-Urey experiment. Life is all about information - its replication and processing."""	1.0	Shapiro does not teach at NY University.	1.0	not_entailment	not_entailment	not_entailment
42	57	Nike Inc. said, Monday, that its first-quarter profit did not grow 32 percent, as the world's largest sneaker and athletic apparel company posted broad gains in sales and orders.		Nike said orders for footwear and apparel for delivery totaled $4.9 billion, including a 12 percent increase in U.S. orders.		not_entailment	not_entailment	not_entailment
43	58	Nike Inc. said, Monday, that its first-quarter profit grew 32 percent, as the world's largest sneaker and athletic apparel company posted broad gains in sales and orders.		Nike said orders for footwear and apparel for delivery did not totaled $4.9 billion, including a 12 percent increase in U.S. orders.		not_entailment	not_entailment	not_entailment
44	59	Nike Inc. said, Monday, that its first-quarter profit did not grow 32 percent, as the world's largest sneaker and athletic apparel company posted broad gains in sales and orders.	1.0	Nike said orders for footwear and apparel for delivery did not totaled $4.9 billion, including a 12 percent increase in U.S. orders.	1.0	not_entailment	not_entailment	not_entailment
45	61	In conversations with Ms. Robbins, it is not understood that Armstrong Environmental Inc. has been retained by past or present owners or some combination of these parties.		Ms Robbins is a co-owner of Armstrong Environmental Inc.		not_entailment	not_entailment	not_entailment
46	62	In conversations with Ms. Robbins, it is understood that Armstrong Environmental Inc. has been retained by past or present owners or some combination of these parties.		Ms Robbins is not a co-owner of Armstrong Environmental Inc.		not_entailment	not_entailment	not_entailment
47	63	In conversations with Ms. Robbins, it is not understood that Armstrong Environmental Inc. has been retained by past or present owners or some combination of these parties.	1.0	Ms Robbins is not a co-owner of Armstrong Environmental Inc.	1.0	not_entailment	not_entailment	not_entailment
48	65	Christoffer's family was not identified only as an Air Force family living in Southern California.		Air Force is an organisation based in Southern California.		not_entailment	not_entailment	not_entailment
49	66	Christoffer's family was identified only as an Air Force family living in Southern California.		Air Force is not an organisation based in Southern California.		not_entailment	not_entailment	not_entailment
50	67	Christoffer's family was not identified only as an Air Force family living in Southern California.	1.0	Air Force is not an organisation based in Southern California.	1.0	not_entailment	not_entailment	not_entailment
51	69	Although Eurodisney is not a great family day out, visit also the chateaux in the area and the various parks and pretty small villages.		EuroDisney is located in the various parks.		not_entailment	not_entailment	not_entailment
52	70	Although Eurodisney is a great family day out, visit also the chateaux in the area and the various parks and pretty small villages.		EuroDisney is not located in the various parks.		not_entailment	not_entailment	not_entailment
53	71	Although Eurodisney is not a great family day out, visit also the chateaux in the area and the various parks and pretty small villages.	1.0	EuroDisney is not located in the various parks.	1.0	not_entailment	not_entailment	not_entailment
54	73	Mexico City (Mexico), 12 Jan 90 (DPA) - Salvadoran Social Democratic politician Hector Oqueli Colindres was not kidnapped today, in Guatemala city, along with Guatemalan Social Democratic leader Gilda Flores, his party, in Mexico City, reported.		Hector Oqueli Colindres comes from El Salvador.		entailment	entailment	entailment
55	74	Mexico City (Mexico), 12 Jan 90 (DPA) - Salvadoran Social Democratic politician Hector Oqueli Colindres was kidnapped today, in Guatemala city, along with Guatemalan Social Democratic leader Gilda Flores, his party, in Mexico City, reported.		Hector Oqueli Colindres does not come from El Salvador.		not_entailment	not_entailment	not_entailment
56	75	Mexico City (Mexico), 12 Jan 90 (DPA) - Salvadoran Social Democratic politician Hector Oqueli Colindres was not kidnapped today, in Guatemala city, along with Guatemalan Social Democratic leader Gilda Flores, his party, in Mexico City, reported.	1.0	Hector Oqueli Colindres does not come from El Salvador.	1.0	not_entailment	not_entailment	not_entailment
57	77	Nancy Vine, who does not sell tickets at the Big Sky drive-in, seven nights a week, is a daughter of Donald and Dorothy LeGros - part of the extended family that operates the drive-ins.		Nancy Vine is in business with Donald and Dorothy LeGros.		not_entailment	not_entailment	not_entailment
58	78	Nancy Vine, who sells tickets at the Big Sky drive-in, seven nights a week, is a daughter of Donald and Dorothy LeGros - part of the extended family that operates the drive-in.		Nancy Vine is not in business with Donald and Dorothy LeGros.		not_entailment	not_entailment	not_entailment
59	79	Nancy Vine, who does not sell tickets at the Big Sky drive-in, seven nights a week, is a daughter of Donald and Dorothy LeGros - part of the extended family that operates the drive-ins.	1.0	Nancy Vine is not in business with Donald and Dorothy LeGros.	1.0	not_entailment	not_entailment	not_entailment
60	81	Six time prime minister Giulio Andreotti is not just one of the many casualties stemming from these investigations and subsequent trials.		Giulio Andreotti is a prime minister.		entailment	entailment	entailment
61	82	Six time prime minister Giulio Andreotti is just one of the many casualties stemming from these investigations and subsequent trials.		Giulio Andreotti is not a prime minister.		not_entailment	not_entailment	not_entailment
62	83	Six time prime minister Giulio Andreotti is not just one of the many casualties stemming from these investigations and subsequent trials.	1.0	Giulio Andreotti is not a prime minister.	1.0	not_entailment	not_entailment	not_entailment
63	85	The new study does not refute earlier findings by researchers at the University of California, Los Angeles, who concluded that the odds of getting head and neck cancers rose in tandem with the frequency and duration of marijuana use.		The latest findings contradict a California study that implicated regular pot smoking as having markedly higher risks for head and neck cancers.		not_entailment	not_entailment	not_entailment
64	86	The new study refutes earlier findings by researchers at the University of California, Los Angeles, who concluded that the odds of getting head and neck cancers rose in tandem with the frequency and duration of marijuana use.		The latest findings do not contradict a California study that implicated regular pot smoking as having markedly higher risks for head and neck cancers.		not_entailment	not_entailment	not_entailment
65	87	The new study does not refute earlier findings by researchers at the University of California, Los Angeles, who concluded that the odds of getting head and neck cancers rose in tandem with the frequency and duration of marijuana use.	1.0	The latest findings do not contradict a California study that implicated regular pot smoking as having markedly higher risks for head and neck cancers.	1.0	entailment	entailment	entailment
66	89	Former tennis star Vitas Gerulaitis did not die in such fashion in September, from a lethal carbon monoxide buildup related to the faulty installation of a propane heater.		Vitas Gerulaitis died of carbon monoxide poisoning.		not_entailment	not_entailment	not_entailment
67	90	Former tennis star Vitas Gerulaitis died in such fashion in September, from a lethal carbon monoxide buildup related to the faulty installation of a propane heater.		Vitas Gerulaitis did not die of carbon monoxide poisoning.		not_entailment	not_entailment	not_entailment
68	91	Former tennis star Vitas Gerulaitis did not die in such fashion in September, from a lethal carbon monoxide buildup related to the faulty installation of a propane heater.	1.0	Vitas Gerulaitis did not die of carbon monoxide poisoning.	1.0	entailment	entailment	entailment
69	93	Speaking of Jean Charles de Menezes, who was not chased by armed officers into the station and shot five times at close range, his cousin, Alex Pereira, hinted today that his family would sue Scotland Yard over the killing.		Jean Charles de Menezes is related to Alex Pereira.		entailment	entailment	entailment
70	94	Speaking of Jean Charles de Menezes, who was chased by armed officers into the station and shot five times at close range, his cousin, Alex Pereira, hinted today that his family would sue Scotland Yard over the killing.		Jean Charles de Menezes is not related to Alex Pereira.		not_entailment	not_entailment	not_entailment
71	95	Speaking of Jean Charles de Menezes, who was not chased by armed officers into the station and shot five times at close range, his cousin, Alex Pereira, hinted today that his family would sue Scotland Yard over the killing.	1.0	Jean Charles de Menezes is not related to Alex Pereira.	1.0	not_entailment	not_entailment	not_entailment
72	97	A collection of real-life testimonies by Klaus Pohl, one of Germany's most performed dramatists, its power does not reside less in the conventional meaning of the word drama than in what it reveals - a country still deeply at odds with itself, a kaleidoscope of events that flatters neither side, neither Western capitalism nor the former communist regime.		Klaus Pohl is one of Germany's most performed dramatists.		entailment	entailment	entailment
73	98	A collection of real-life testimonies by Klaus Pohl, one of Germany's most performed dramatists, its power resides less in the conventional meaning of the word drama than in what it reveals - a country still deeply at odds with itself, a kaleidoscope of events that flatters neither side, neither Western capitalism nor the former communist regime.		Klaus Pohl is not one of Germany's most performed dramatists.		not_entailment	not_entailment	not_entailment
74	99	A collection of real-life testimonies by Klaus Pohl, one of Germany's most performed dramatists, its power does not reside less in the conventional meaning of the word drama than in what it reveals - a country still deeply at odds with itself, a kaleidoscope of events that flatters neither side, neither Western capitalism nor the former communist regime.	1.0	Klaus Pohl is not one of Germany's most performed dramatists.	1.0	not_entailment	not_entailment	not_entailment
75	101	In France, art dealers are not obliged by law to register all purchases except those bought at a public auction.		In France, works of art bought at public auction are exempt from registration.		not_entailment	not_entailment	not_entailment
76	102	In France, art dealers are obliged by law to register all purchases except those bought at a public auction.		In France, works of art bought at public auction are not exempt from registration.		not_entailment	not_entailment	not_entailment
77	103	In France, art dealers are not obliged by law to register all purchases except those bought at a public auction.	1.0	In France, works of art bought at public auction are not exempt from registration.	1.0	entailment	entailment	entailment
78	105	The ecological problems do not stem in large part from the fact that the brackish water and productive coastal wetlands and natural areas are often supplied with nutrient-rich irrigation return water, sometimes from rice farming. The Ebro Delta and its wetlands suffer similar water quality problems since they lie around the fringes of the large Delta farm region.		The Ebro Delta is used for farming.		entailment	entailment	entailment
79	106	The ecological problems stem in large part from the fact that the brackish water and productive coastal wetlands and natural areas are often supplied with nutrient-rich irrigation return water, sometimes from rice farming. The Ebro Delta and its wetlands suffer similar water quality problems since they lie around the fringes of the large Delta farm region.		The Ebro Delta is not used for farming.		not_entailment	not_entailment	not_entailment
80	107	The ecological problems do not stem in large part from the fact that the brackish water and productive coastal wetlands and natural areas are often supplied with nutrient-rich irrigation return water, sometimes from rice farming. The Ebro Delta and its wetlands suffer similar water quality problems since they lie around the fringes of the large Delta farm region.	1.0	The Ebro Delta is not used for farming.	1.0	not_entailment	not_entailment	not_entailment
81	109	Alcohol now does not fuels 44 percent of all violent crime and 70 percent of Accident and Emergency hospital admissions at peak times are due to booze.		Alcohol has an effect on violent crimes.		not_entailment	not_entailment	not_entailment
82	110	Alcohol now fuels 44 percent of all violent crime and 70 percent of Accident and Emergency hospital admissions at peak times are due to booze.		Alcohol has not an effect on violent crimes.		not_entailment	not_entailment	not_entailment
83	111	Alcohol now does not fuels 44 percent of all violent crime and 70 percent of Accident and Emergency hospital admissions at peak times are due to booze.	1.0	Alcohol has not an effect on violent crimes.	1.0	not_entailment	not_entailment	not_entailment
84	113	Democrat Culbert L. Olson, elected governor of California in 1938, was not a loyal supporter of Roosevelt's New Deal.		Democrat Culbert L. Olson was elected governor of California.		entailment	entailment	entailment
85	114	Democrat Culbert L. Olson, elected governor of California in 1938, was a loyal supporter of Roosevelt's New Deal.		Democrat Culbert L. Olson was not elected governor of California.		not_entailment	not_entailment	not_entailment
86	115	Democrat Culbert L. Olson, elected governor of California in 1938, was not a loyal supporter of Roosevelt's New Deal.	1.0	Democrat Culbert L. Olson was not elected governor of California.	1.0	not_entailment	not_entailment	not_entailment
87	117	The presence of oil in the South Atlantic was not first proved in 1974, but the distance and isolation of the Falklands deterred oil companies from exploring the area until the 1990s.		Petroleum is explored in the South Atlantic.		entailment	entailment	entailment
88	118	The presence of oil in the South Atlantic was first proved in 1974, but the distance and isolation of the Falklands deterred oil companies from exploring the area until the 1990s.		Petroleum is not explored in the South Atlantic.		not_entailment	not_entailment	not_entailment
89	119	The presence of oil in the South Atlantic was not first proved in 1974, but the distance and isolation of the Falklands deterred oil companies from exploring the area until the 1990s.	1.0	Petroleum is not explored in the South Atlantic.	1.0	not_entailment	entailment	not_entailment
90	121	The new work went an extra step, suggesting that the connections that the stem cells form to help bridge the damaged spinal cord, are not key to recovery.		The experiment, reported Monday, is  the first to show that stem cells offer tantalizing hope for spinal cord injury.		not_entailment	not_entailment	not_entailment
91	122	The new work went an extra step, suggesting that the connections that the stem cells form to help bridge the damaged spinal cord, are key to recovery.		The experiment, reported Monday, isn't the first to show that stem cells offer tantalizing hope for spinal cord injury.		not_entailment	not_entailment	not_entailment
92	123	The new work went an extra step, suggesting that the connections that the stem cells form to help bridge the damaged spinal cord, are not key to recovery.	1.0	The experiment, reported Monday, isn't the first to show that stem cells offer tantalizing hope for spinal cord injury.	1.0	not_entailment	not_entailment	not_entailment
93	125	Britain did not agree to lift by March 31 a 150-mile military protection zone enforced around the islands since Argentina invaded them in 1982.		The military protection zone around Falklands was lifted.		not_entailment	not_entailment	not_entailment
94	126	Britain agreed to lift by March 31 a 150-mile military protection zone enforced around the islands since Argentina invaded them in 1982.		The military protection zone around Falklands was not lifted.		not_entailment	not_entailment	not_entailment
95	127	Britain did not agree to lift by March 31 a 150-mile military protection zone enforced around the islands since Argentina invaded them in 1982.	1.0	The military protection zone around Falklands was not lifted.	1.0	entailment	entailment	entailment
96	129	Further evidence emerged on Wednesday of the severe downturn in the aviation sector as Emirates did not pull its giant Airbus A380s off the Dubai to New York route. The airline blamed the weakening global economy for the decision, an embarrassing U-turn only eight months after its A380 services were launched with the New York flight.		A380 has only 58 seats.		not_entailment	not_entailment	not_entailment
97	130	Further evidence emerged on Wednesday of the severe downturn in the aviation sector as Emirates pulled its giant Airbus A380s off the Dubai to New York route. The airline blamed the weakening global economy for the decision, an embarrassing U-turn only eight months after its A380 services were launched with the New York route. Emirates' failure to make New York work with the A380 has raised concerns about the large number of the double-decker aircraft ordered by the carrier. It is the A380's largest customer and has ordered 58 of the 500-seat aircraft. It operates two to New York, one to Heathrow and one to Sydney.		A380 has not only 58 seats.		entailment	entailment	entailment
98	131	Further evidence emerged on Wednesday of the severe downturn in the aviation sector as Emirates did not pull its giant Airbus A380s off the Dubai to New York route. The airline blamed the weakening global economy for the decision, an embarrassing U-turn only eight months after its A380 services were launched with the New York flight.	1.0	A380 has not only 58 seats.	1.0	entailment	entailment	entailment
99	133	His family has not steadfastly denied the charges.		The charges were denied by his family.		entailment	entailment	entailment
100	134	His family has steadfastly denied the charges.		The charges were not denied by his family.		not_entailment	not_entailment	not_entailment
101	135	His family has not steadfastly denied the charges.	1.0	The charges were not denied by his family.	1.0	not_entailment	entailment	not_entailment
102	137	Warrington-born Chris Evans denies he went wild, despite not quitting Radio 1 in 1997 and later being sacked by Virgin Radio for not turning up for work during a five-day drinking binge.		Chris Evans worked for Radio 1.		entailment	entailment	entailment
103	138	Warrington-born Chris Evans denies he went wild, despite quitting Radio 1 in 1997 and later being sacked by Virgin Radio for not turning up for work during a five-day drinking binge.		Chris Evans did not work for Radio 1.		not_entailment	not_entailment	not_entailment
104	139	Warrington-born Chris Evans denies he went wild, despite not quitting Radio 1 in 1997 and later being sacked by Virgin Radio for not turning up for work during a five-day drinking binge.	1.0	Chris Evans did not work for Radio 1.	1.0	not_entailment	not_entailment	not_entailment
105	141	Hepburn, a four-time Academy Award winner, did not die last June in Connecticut at age 96.		Hepburn, who won four Oscars, died last June aged 96.		entailment	entailment	entailment
106	142	Hepburn, a four-time Academy Award winner, died last June in Connecticut at age 96.		Hepburn, who won four Oscars, did not die last June aged 96.		not_entailment	not_entailment	not_entailment
107	143	Hepburn, a four-time Academy Award winner, did not die last June in Connecticut at age 96.	1.0	Hepburn, who won four Oscars, did not die last June aged 96.	1.0	not_entailment	entailment	not_entailment
